Mem_used,Mem_free,Mem_total,Mem_Disp,Date,Time,Elapsed_time,trend,seasonal,residual,Aging_Label
1572816,3557932,7088316,5275264,2022-12-26,21:44:03,780,1549330.776255415,17790.499519697074,5694.724224887788,1.0
1571528,3559204,7088316,5276548,2022-12-26,21:44:08,785,1549354.65577123,16390.677481385854,5782.666747384006,1.0
1572348,3558372,7088316,5275728,2022-12-26,21:44:13,790,1549378.5321419109,18052.47704955027,4916.99080853886,1.0
1574324,3556384,7088316,5273756,2022-12-26,21:44:18,795,1549402.405377579,18210.59043306509,6711.004189355997,1.0
1572204,3558484,7088316,5275884,2022-12-26,21:44:23,800,1549426.2754883382,17187.15402366582,5590.570487995865,1.0
1571472,3559204,7088316,5276612,2022-12-26,21:44:28,805,1549450.1424842756,16489.84273514143,5532.01478058286,1.0
1573876,3556784,7088316,5274208,2022-12-26,21:44:33,810,1549474.0063754625,17506.678517240292,6895.315107297152,1.0
1572996,3557652,7088316,5275088,2022-12-26,21:44:38,815,1549497.8671720028,17395.94348858411,6102.189339413075,1.0
1573316,3557320,7088316,5274760,2022-12-26,21:44:43,820,1549521.7248838998,16916.761911000445,6877.513205099851,1.0
1572316,3558300,7088316,5275756,2022-12-26,21:44:48,825,1549545.579521212,16383.040522052095,6387.379956735764,1.0
1573364,3557236,7088316,5274708,2022-12-26,21:44:53,830,1549569.4310939782,17325.98617817064,6468.582727851113,1.0
1573932,3556656,7088316,5274200,2022-12-26,21:44:58,835,1549593.2796122376,17541.851640782766,6796.868746979628,1.0
1570968,3559600,7088316,5277168,2022-12-26,21:45:03,840,1549617.1250859422,16640.31519835123,4710.559715706622,1.0
1572932,3557616,7088316,5275240,2022-12-26,21:45:08,845,1549640.9675250754,17277.832685833266,6013.199789091246,1.0
1573344,3557192,7088316,5274752,2022-12-26,21:45:13,850,1549664.806939634,16929.7408415214,6749.452218844555,1.0
1573156,3557364,7088316,5274964,2022-12-26,21:45:18,855,1549688.6433396237,16547.20173465803,6920.154925718205,1.0
1572664,3557844,7088316,5275468,2022-12-26,21:45:23,860,1549712.4767349276,15659.283126374665,7292.240138697671,1.0
1574060,3556292,7088316,5274000,2022-12-26,21:45:28,865,1549736.3071355352,17176.984292968074,7146.708571496652,1.0
1572368,3557972,7088316,5275692,2022-12-26,21:45:33,870,1549760.1345513358,16484.654945205613,6123.210503458511,1.0
1570120,3560204,7088316,5277932,2022-12-26,21:45:39,875,1549783.9589922507,13964.413481778622,6371.627525970573,1.0
1571104,3559224,7088316,5276956,2022-12-26,21:45:44,880,1549807.7804681472,15769.258450312154,5526.961081540678,1.0
1570840,3559476,7088316,5277176,2022-12-26,21:45:49,885,1549831.5989889426,15322.186377641201,5686.214633416152,1.0
1569432,3560864,7088316,5278580,2022-12-26,21:45:54,890,1549855.4145644708,13854.686181486528,5721.899254042655,1.0
1570236,3560044,7088316,5277776,2022-12-26,21:45:59,895,1549879.227204615,14218.934852063601,6137.837943321327,1.0
1569032,3561236,7088316,5278968,2022-12-26,21:46:04,900,1549903.0369192206,13595.852179459656,5533.110901319655,1.0
1568500,3561756,7088316,5279512,2022-12-26,21:46:09,905,1549926.8437181013,13452.796584620088,5120.359697278589,1.0
1569888,3560336,7088316,5278116,2022-12-26,21:46:14,910,1549950.6476111033,15169.21140701968,4768.14098187699,1.0
1569900,3560316,7088316,5278104,2022-12-26,21:46:19,915,1549974.4486080338,15249.683881072444,4675.867510893848,1.0
1569460,3560736,7088316,5278544,2022-12-26,21:46:24,920,1549998.2467186842,14340.544388700597,5121.208892615279,1.0
1569912,3560272,7088316,5278092,2022-12-26,21:46:29,925,1550022.0419528857,14889.784734496943,5000.173312617466,1.0
1571856,3558316,7088316,5276148,2022-12-26,21:46:34,930,1550045.8343204416,15233.435014034452,6576.7306655240245,1.0
1571980,3558188,7088316,5276024,2022-12-26,21:46:39,935,1550069.6238310446,15998.242226042177,5912.133942913264,1.0
1568976,3561180,7088316,5279028,2022-12-26,21:46:44,940,1550093.4104945718,13748.519282580683,5134.070222847629,1.0
1571032,3559108,7088316,5276972,2022-12-26,21:46:49,945,1550117.1943207167,14697.488484808258,6217.317194475094,1.0
1571448,3558680,7088316,5276556,2022-12-26,21:46:54,950,1550140.975319273,15371.583977325878,5935.440703401109,1.0
1571644,3558468,7088316,5276316,2022-12-26,21:46:59,955,1550164.7534999095,14550.928844130749,6928.317655959632,1.0
1573856,3556240,7088316,5274176,2022-12-26,21:47:04,960,1550188.5288723605,15471.913883738303,8195.557243901305,1.0
1574832,3555248,7088316,5273200,2022-12-26,21:47:09,965,1550212.301446395,16834.732083608316,7784.966469996609,1.0
1573188,3556880,7088316,5274844,2022-12-26,21:47:14,970,1550236.071231681,15712.074614542156,7239.854153777007,1.0
1571812,3558244,7088316,5276220,2022-12-26,21:47:19,975,1550259.8382378195,14572.465889238363,6979.695872942219,1.0
1573396,3556644,7088316,5274636,2022-12-26,21:47:24,980,1550283.6024745428,15728.574353909213,7383.82317154808,1.0
1573548,3556480,7088316,5274484,2022-12-26,21:47:29,985,1550307.36395146,15107.655248653464,8132.980799886631,1.0
1572964,3557048,7088316,5275076,2022-12-26,21:47:34,990,1550331.122678204,14504.762446741495,8128.114875054453,1.0
1573832,3556168,7088316,5274208,2022-12-26,21:47:39,995,1550354.8786643737,15209.912522270703,8267.208813355537,1.0
1574756,3555228,7088316,5273280,2022-12-26,21:47:44,1000,1550378.6319195474,16189.637867447907,8187.73021300463,1.0
1574548,3555424,7088316,5273492,2022-12-26,21:47:49,1005,1550402.3824532942,16064.654575132992,8080.962971572764,1.0
1573108,3556848,7088316,5274932,2022-12-26,21:47:54,1010,1550426.130275181,16070.383118440473,6611.486606378574,1.0
1573436,3556508,7088316,5274680,2022-12-26,21:47:59,1015,1550449.8753946975,16266.03512901135,6720.08947629109,1.0
1574048,3555884,7088316,5274064,2022-12-26,21:48:04,1020,1550473.617821407,16652.10760934018,6922.274569252739,1.0
1571868,3558048,7088316,5276244,2022-12-26,21:48:09,1025,1550497.3575647876,15603.122870067256,5767.519565145019,1.0
1570804,3559100,7088316,5277308,2022-12-26,21:48:14,1030,1550521.094634314,15547.822335161034,4735.0830305248965,1.0
1573352,3556536,7088316,5274676,2022-12-26,21:48:20,1035,1550544.829039434,15786.184654073968,7020.986306492006,1.0
1572064,3557812,7088316,5275964,2022-12-26,21:48:25,1040,1550568.560789684,15348.536309071567,6146.90290124435,1.0
1571632,3558228,7088316,5276396,2022-12-26,21:48:30,1045,1550592.2898944684,15083.752204785467,5955.95790074626,1.0
1572456,3557392,7088316,5275572,2022-12-26,21:48:35,1050,1550616.0163632217,15501.986409588346,6337.997227190062,1.0
1572112,3557724,7088316,5275784,2022-12-26,21:48:40,1055,1550639.7402054076,15742.483378226705,5729.776416365756,1.0
1572628,3557192,7088316,5275268,2022-12-26,21:48:45,1060,1550663.4614303962,16618.291425346797,5346.247144256951,1.0
1574992,3554816,7088316,5272900,2022-12-26,21:48:50,1065,1550687.18004758,13528.516410401482,10776.303542018402,1.0
1572956,3556836,7088316,5274968,2022-12-26,21:48:55,1070,1550710.8960663723,13996.88482190728,8248.219111720333,1.0
1572300,3557480,7088316,5275612,2022-12-26,21:49:00,1075,1550734.609496139,13891.198839120354,7674.191664740676,1.0
1573872,3555868,7088316,5274040,2022-12-26,21:49:05,1080,1550758.3203462134,14173.493048661387,8940.1866051252,1.0
1571948,3557780,7088316,5275900,2022-12-26,21:49:10,1085,1550782.0286259223,12624.446520934936,8541.524853142677,1.0
1571664,3558052,7088316,5276176,2022-12-26,21:49:15,1090,1550805.7343445795,12084.15269255722,8774.112962863175,1.0
1570256,3559440,7088316,5277584,2022-12-26,21:49:20,1095,1550829.4375114515,10829.540925991567,8597.021562556969,1.0
1571404,3558284,7088316,5276432,2022-12-26,21:49:25,1100,1550853.1381358134,11221.570435488187,9329.29142869846,1.0
1572172,3557496,7088316,5275660,2022-12-26,21:49:30,1105,1550876.8362269104,11920.720675567001,9374.443097522715,1.0
1571824,3557828,7088316,5276008,2022-12-26,21:49:35,1110,1550900.5317939667,12910.608364827689,8012.859841205645,1.0
1571140,3558496,7088316,5276684,2022-12-26,21:49:40,1115,1550924.2248461584,12408.7260107086,7807.0491431329865,1.0
1570616,3559008,7088316,5277208,2022-12-26,21:49:45,1120,1550947.9153926584,11962.245562320373,7705.839045021217,1.0
1569764,3559844,7088316,5278060,2022-12-26,21:49:50,1125,1550971.6034426794,10655.704094765475,8136.692462555133,1.0
1569956,3559640,7088316,5277872,2022-12-26,21:49:55,1130,1550995.2890052954,11634.967204978659,7325.743789725937,1.0
