Mem_used,Mem_free,Mem_total,Mem_Disp,Date,Time,Elapsed_time,trend,seasonal,residual,Aging_Label
1493776,3635700,7088316,5353372,2022-12-24,21:05:17,1010,1482646.4921348467,11839.789378218911,-710.2815130655654,1.0
1492876,3636588,7088316,5354272,2022-12-24,21:05:22,1015,1482684.0583450284,10326.772906037171,-134.83125106571242,1.0
1491392,3638056,7088316,5355756,2022-12-24,21:05:27,1020,1482721.617849939,8522.05919075071,148.32295931014232,1.0
1490544,3638888,7088316,5356600,2022-12-24,21:05:32,1025,1482759.1706498156,8590.100872150999,-805.2715219666716,1.0
1491324,3638076,7088316,5355816,2022-12-24,21:05:37,1030,1482796.7167449477,8988.649216733478,-461.3659616811201,1.0
1490164,3639224,7088316,5356972,2022-12-24,21:05:42,1035,1482834.2561355918,7805.488923952614,-475.7450595444534,1.0
1490360,3639016,7088316,5356776,2022-12-24,21:05:47,1040,1482871.7888221007,7959.061801883268,-470.8506239838898,1.0
1490908,3638452,7088316,5356228,2022-12-24,21:05:52,1045,1482909.314804692,8519.630103069203,-520.9449077611789,1.0
1490360,3638988,7088316,5356776,2022-12-24,21:05:57,1050,1482946.8340836714,7862.764366484295,-449.5984501556959,1.0
1489776,3639552,7088316,5357364,2022-12-24,21:06:02,1055,1482984.346659326,7342.148646832531,-550.4953061584383,1.0
1489688,3639628,7088316,5357448,2022-12-24,21:06:07,1060,1483021.8525319495,6919.464270858181,-253.31680280761793,1.0
1488936,3640364,7088316,5358200,2022-12-24,21:06:12,1065,1483059.3517017923,7449.700684552293,-1573.0523863446433,1.0
1489568,3639688,7088316,5357640,2022-12-24,21:06:17,1070,1483096.8441691534,8414.456353879217,-1943.3005230326671,1.0
1489368,3639872,7088316,5357848,2022-12-24,21:06:22,1075,1483134.3299343318,6871.600475714254,-637.9304100461304,1.0
1489928,3639300,7088316,5357280,2022-12-24,21:06:27,1080,1483171.8089976094,7818.6454855237525,-1062.454483133275,1.0
1492736,3636480,7088316,5354480,2022-12-24,21:06:32,1085,1483209.2813592895,8542.400296098524,984.3183446119074,1.0
1492560,3636644,7088316,5354656,2022-12-24,21:06:37,1090,1483246.7470196558,9049.029152014113,264.22382833017036,1.0
1491776,3637408,7088316,5355440,2022-12-24,21:06:42,1095,1483284.2059790064,8059.183257726797,432.61076326691546,1.0
1492016,3637156,7088316,5355260,2022-12-24,21:06:48,1100,1483321.6582376382,8613.904025699174,80.43773666257039,1.0
1490524,3638636,7088316,5356768,2022-12-24,21:06:53,1105,1483359.1037958423,6997.0117513167625,167.8844528410118,1.0
1493576,3635568,7088316,5353716,2022-12-24,21:06:58,1110,1483396.5426538798,9031.215632059424,1148.2417140607722,1.0
1492068,3637064,7088316,5355224,2022-12-24,21:07:03,1115,1483433.9748120592,8731.926450607536,-97.90126266679727,1.0
1490416,3638700,7088316,5356876,2022-12-24,21:07:08,1120,1483471.4002706388,7393.878870465006,-449.2791411038488,1.0
